h		あ
k		い
j		う
;		え
l		お
u		や
i		ゆ
o		よ
n	ん
m	っ
p	ー
y		■
t		□
□h		ぁ
□k		ぃ
□j		ぅ
□;		ぇ
□l		ぉ
□u		ゃ
□i		ゅ
□o		ょ
□,	，
□。	．
□・	／
e		か
かh	か
かk	き
かj	く
か;	け
かl	こ
かu	きゃ
かi	きゅ
かo	きょ
かy	ヶ
s		さ
さh	さ
さk	し
さj	す
さ;	せ
さl	そ
さu	しゃ
さi	しゅ
さo	しょ
さy	しぇ
f		た
たh	た
たk	ち
たj	つ
た;	て
たl	と
たu	ちゃ
たi	ちゅ
たo	ちょ
たy	ちぇ
d		な
なh	な
なk	に
なj	ぬ
な;	ね
なl	の
なu	にゃ
なi	にゅ
なo	にょ
g		は
はh	は
はk	ひ
はj	ふ
は;	へ
はl	ほ
はu	ひゃ
はi	ひゅ
はo	ひょ
v		ま
まh	ま
まk	み
まj	む
ま;	め
まl	も
まu	みゃ
まi	みゅ
まo	みょ
r		ら
らh	ら
らk	り
らj	る
ら;	れ
らl	ろ
らu	りゃ
らi	りゅ
らo	りょ
w		わ
わh	わ
わk	うぃ
わj	ヴ
わ;	うぇ
わl	を
わu	ゐ
わi	ゑ
わo	うぉ
わy	ゎ
q		が
がh	が
がk	ぎ
がj	ぐ
が;	げ
がl	ご
がu	ぎゃ
がi	ぎゅ
がo	ぎょ
z		ざ
ざh	ざ
ざk	じ
ざj	ず
ざ;	ぜ
ざl	ぞ
ざu	じゃ
ざi	じゅ
ざo	じょ
ざy	じぇ
c		だ
だh	だ
だk	ぢ
だj	づ
だ;	で
だl	ど
だu	ぢゃ
だi	ぢゅ
だo	ぢょ
だy	でぃ
b		ば
ばh	ば
ばk	び
ばj	ぶ
ば{	べ
ばl	ぼ
ばu	びゃ
ばi	びゅ
ばo	びょ
a		ぱ
ぱh	ぱ
ぱk	ぴ
ぱj	ぷ
ぱ;	ぺ
ぱl	ぽ
ぱu	ぴゃ
ぱi	ぴゅ
ぱo	ぴょ
x		ふぁ
ふぁh	ふぁ
ふぁk	ふぃ
ふぁj	ふゅ
ふぁ;	ふぇ
ふぁl	ふぉ
ふぁy	てゅ
ふぁu	てぃ
ふぁi	でゅ
ふぁo	でぃ
あt	ぁ
いt	ぃ
うt	ぅ
えt	ぇ
おt	ぉ
やt	ゃ
ゆt	ゅ
よt	ょ
[	「
]	」
y	〒
{『
}』
■1	○
■!	●
■2	▽
■@	▼
■3	△
■#	▲■4	□
■$	■
■5	◇
■%	◆
■6	☆
■^	★
■7	◎
■&	￡
■8	￠
■(	【
■9	♂
■)	】
■0	♀
■_	∴
■=	≒
■+	±
■\	＼
■x	〒
■|	≥
■`	´
■~	¨
■y	〒
■[	［
■]	］
■{	《
■}	》
■q	゛
■p	～
■j	↓
■h	←
■k	↑
■l	→
■:	゜
〜	【
■'	'
■"	"
■n	〲
■m	〳
■;	〛
■,	「
■<	≧
■.	『
■>	≦
■/	』
■?	�
■e	々
■t	〆
■s	ヽ
■d	ゝ
■f	〃
■g	‐
■c	〇
■x	×
■a	※
■b	°
■w	w
