e{composition-separator}	か
e{any character}	か{any character}
eh	か
ek	き
ej	く
e；	け
el	こ
ep	きゃ
eo	きゅ
ei	きょ
en	きぇ
s{composition-separator}	さ
s{any character}	さ{any character}
sh	さ
sk	し
sj	す
s；	せ
sl	そ
sp	しゃ
so	しゅ
si	しょ
sn	しぇ
f{composition-separator}	た
f{any character}	た{any character}
fh	た
fk	ち
fj	つ
f；	て
fl	と
fp	ちゃ
fo	ちゅ
fi	ちょ
fn	ちぇ
d{composition-separator}	な
d{any character}	な{any character}
dh	な
dk	に
dj	ぬ
d；	ね
dl	の
dp	にゃ
do	にゅ
di	にょ
dn	にぇ
g{composition-separator}	は
g{any character}	は{any character}
gh	は
gk	ひ
gj	ふ
g；	へ
gl	ほ
gp	ひゃ
go	ひゅ
gi	ひょ
gn	ひぇ
v{composition-separator}	ま
v{any character}	ま{any character}
vh	ま
vk	み
vj	む
v；	め
vl	も
vp	みゃ
vo	みゅ
vi	みょ
vn	みぇ
r{composition-separator}	ら
r{any character}	ら{any character}
rh	ら
rk	り
rj	る
r；	れ
rl	ろ
rp	りゃ
ro	りゅ
ri	りょ
rn	りぇ
w{composition-separator}	わ
w{any character}	わ{any character}
wh	わ
wk	うぃ
wj{composition-separator}	ゔ
wj{any character}	ゔ{any character}
w；	うぇ
wl	を
wp	ゐ
wo	ゑ
wi	うぉ
a{composition-separator}	が
a{any character}	が{any character}
ah	が
ak	ぎ
aj	ぐ
a；	げ
al	ご
ap	ぎゃ
ao	ぎゅ
ai	ぎょ
an	ぎぇ
z{composition-separator}	ざ
z{any character}	ざ{any character}
zh	ざ
zk	じ
zj	ず
z；	ぜ
zl	ぞ
zp	じゃ
zo	じゅ
zi	じょ
zn	じぇ
c{composition-separator}	だ
c{any character}	だ{any character}
ch	だ
ck	ぢ
cj	づ
c；	で
cl	ど
cp	でぃ
co	でゅ
ci	どぅ
cn	ぢぇ
b{composition-separator}	ば
b{any character}	ば{any character}
bh	ば
bk	び
bj	ぶ
b；	べ
bl	ぼ
bp	びゃ
bo	びゅ
bi	びょ
bn	びぇ
t{composition-separator}	ぱ
t{any character}	ぱ{any character}
th	ぱ
tk	ぴ
tj	ぷ
t；	ぺ
tl	ぽ
tp	ぴゃ
to	ぴゅ
ti	ぴょ
tn	ぴぇ
x{composition-separator}	ふぁ
x{any character}	ふぁ{any character}
xh	ふぁ
xk	ふぃ
xj	ふゅ
x；	ふぇ
xl	ふぉ
xp	てぃ
xo	てゅ
xi	とぅ
xn	ふぇ
h	あ
k	い
j	う
；	え
l	お
p	や
o	ゆ
i	よ
n	いぇ
u	っ
m	ん
y	ー
・	？
?	・
qh	ぁ
qk	ぃ
qj	ぅ
q；	ぇ
ql	ぉ
qp	ゃ
qo	ゅ
qi	ょ
q{composition-separator}	ぁ
q{any character}	ぁ{any character}
qw	ゎ
wjh	ゔぁ
wjk	ゔぃ
wjj	ゔ
wj；	ゔぇ
wjl	ゔぉ
wjp	ゔゃ
wjo	ゔゅ
wji	ゔょ
